"Carimbo de data/hora","Você faz parte de qual grupo? ","Como você costuma descobrir eventos, projetos, bolsas, processos seletivos e outras oportunidades da UFLA? ","Quantos canais diferentes você costuma acompanhar para ficar informado(a) sobre oportunidades e atividades da UFLA?","Você já descobriu uma oportunidade da UFLA tarde demais para participar?","Se sim, o que aconteceu?","Você já deixou de participar de alguma oportunidade da UFLA porque não ficou sabendo dela a tempo?","  Se existisse uma plataforma que reunisse oportunidades da UFLA em um único lugar, o quanto ela seria útil para você?  ","Quais recursos seriam mais úteis em uma plataforma desse tipo?","  Se quiser, conte brevemente alguma situação em que você perdeu ou quase perdeu uma oportunidade da UFLA por não ter ficado sabendo a tempo.  "
"2026/09/14 7:01:25 PM GMT-3","Graduação","Professores","2 canais","Não","Não se aplica","Sim","5","Buscar oportunidades por categoria;Filtrar por curso;Filtrar por período/data;Receber recomendações relacionadas aos meus interesses",""
"2026/09/14 7:22:38 PM GMT-3","Graduação","Instagram;WhatsApp;Professores","2 canais","Sim","Descobri depois que as inscrições haviam terminado;Descobri depois que o evento havia acontecido","Sim","5","Buscar oportunidades por categoria;Filtrar por curso;Filtrar por período/data;Receber recomendações relacionadas aos meus interesses;Receber lembretes de inscrições e eventos;Receber notificações sobre novas oportunidades",""
"2026/09/14 7:25:58 PM GMT-3","Graduação","Instagram;WhatsApp;E-mail institucional;Colegas/amigos","2 canais","Sim","Descobri quando já não havia mais vagas;Não consegui encontrar informações suficientes a tempo","Sim","5","Buscar oportunidades por categoria;Filtrar por curso;Filtrar por câmpus;Filtrar por período/data",""
"2026/09/14 7:32:30 PM GMT-3","Graduação","E-mail institucional;Professores","1 canal","Não tenho certeza","","Sim","4","Buscar oportunidades por categoria;Receber recomendações relacionadas aos meus interesses;Receber lembretes de inscrições e eventos",""
"2026/09/14 7:34:04 PM GMT-3","Ex-estudante ","Instagram;E-mail institucional;SIG/UFLA;Colegas/amigos","2 canais","Sim","Descobri depois que as inscrições haviam terminado","Sim","5","Buscar oportunidades por categoria;Filtrar por curso;Filtrar por período/data;Receber recomendações relacionadas aos meus interesses;Salvar oportunidades;Receber lembretes de inscrições e eventos;Receber notificações sobre novas oportunidades",""
"2026/09/14 8:03:35 PM GMT-3","Graduação","Instagram;WhatsApp;E-mail institucional;Professores;Colegas/amigos","2 canais","Não","Não se aplica","Sim","5","Buscar oportunidades por categoria;Filtrar por curso;Receber recomendações relacionadas aos meus interesses;Salvar oportunidades;Receber lembretes de inscrições e eventos;ter um aplicativo do campus virtual  ","não quero."
"2026/09/14 8:36:28 PM GMT-3","Graduação","Instagram;E-mail institucional","2 canais","Não tenho certeza","Não se aplica","Não tenho certeza","5","Buscar oportunidades por categoria;Filtrar por curso;Receber recomendações relacionadas aos meus interesses;Receber lembretes de inscrições e eventos",""
"2026/09/14 8:52:35 PM GMT-3","Graduação","Instagram;E-mail institucional;Colegas/amigos","1 canal","Sim","Descobri depois que as inscrições haviam terminado;Descobri depois que o evento havia acontecido","Sim","5","Filtrar por curso;Filtrar por período/data",""
"2026/09/14 9:39:05 PM GMT-3","Graduação","E-mail institucional;Colegas/amigos","1 canal","Sim","Descobri depois que as inscrições haviam terminado","Sim","5","Buscar oportunidades por categoria;Filtrar por curso;Receber recomendações relacionadas aos meus interesses;Salvar oportunidades",""
"2026/09/14 9:39:28 PM GMT-3","Graduação","Instagram;E-mail institucional;SIG/UFLA;Professores","3 canais","Sim","Descobri depois que as inscrições haviam terminado","Sim","4","Filtrar por curso;Filtrar por período/data;Receber lembretes de inscrições e eventos;Receber notificações sobre novas oportunidades",""
